Space,StartDate,Activity,Duration,Tags
Off-Work Space,2023-02-25,Gaming,00:40:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-02-26,Coding,00:57:31,"#100DaysofCode
#HTML"
Off-Work Space,2023-02-26,Gaming,00:06:54,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-02-27,Gaming,00:35:19,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-02-27,Unit42-Case Work,06:38:43,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-02-27,Homelab Engineering and Documentation,01:15:12,"#Network-map
#Obsidian"
Off-Work Space,2023-02-27,Homelab Engineering and Documentation,00:20:00,"#Network-map
#Obsidian"
Off-Work Space,2023-02-27,Coding,00:44:55,"#100DaysofCode
#CSS
#HTML"
Off-Work Space,2023-02-27,Gaming,00:57:51,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-02-28,Gaming,00:45:00,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-02-28,Unit42-Case Work,06:40:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-02-28,Coding,01:05:00,"#100DaysofCode
#CSS
#HTML"
Off-Work Space,2023-02-28,Gaming,01:14:49,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-01,Gaming,00:33:56,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-03-01,Unit42-Case Work,00:32:53,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-01,Unit42-Case Work,01:45:46,"#ASTM
#Log analysis
#Meta"
Work-Space,2023-03-01,Unit42-Administrative,00:36:41,"#Career Managment
#Performance Project"
Off-Work Space,2023-03-01,Coding,01:13:59,"#100DaysofCode
#CSS
#HTML"
Off-Work Space,2023-03-01,Gaming,00:38:23,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-01,Mimir Cyber,00:42:25,"#Interview-prep
#Mentorship"
Off-Work Space,2023-03-01,Gaming,02:07:00,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-03-02,Unit42-Case Work,02:33:27,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-02,Unit42-Case Work,01:22:35,
Off-Work Space,2023-03-02,Studying,00:51:24,"#GCPN
#Index
#SANS"
Work-Space,2023-03-02,Unit42-Case Work,00:45:06,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-02,Coding,01:03:56,"#100DaysofCode
#CSS
#HTML"
Off-Work Space,2023-03-02,Gaming,00:30:38,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-02,Gaming,01:23:14,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-03,Gaming,00:37:48,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-03-03,Unit42-Case Work,01:55:37,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-03,Unit42-Administrative,01:58:12,"#Career Managment
#Performance Project"
Work-Space,2023-03-03,Unit42-Case Work,00:32:19,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-03,Coding,01:40:49,"#100DaysofCode
#CSS
#HTML"
Off-Work Space,2023-03-03,Gaming,00:06:06,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-03,Gaming,00:35:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-04,Gaming,00:37:39,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-04,Gaming,00:37:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-05,Coding,00:58:08,"#100DaysofCode
#Python"
Off-Work Space,2023-03-05,Coding,00:55:06,"#100DaysofCode
#HTML
#Python"
Off-Work Space,2023-03-05,Gaming,00:15:51,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-05,Gaming,00:49:50,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-05,Gaming,00:52:40,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-05,Gaming,01:33:03,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-06,Coding,00:18:57,"#100DaysofCode
#Python"
Off-Work Space,2023-03-14,Gaming,01:51:07,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-14,Coding,00:01:21,
Off-Work Space,2023-03-14,Coding,00:36:18,"#100DaysofCode
#Python"
Off-Work Space,2023-03-15,Mimir Cyber,01:29:17,#Adjunct
Work-Space,2023-03-15,Unit42-Case Work,06:00:43,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-16,Mimir Cyber,01:00:00,#Planning
Work-Space,2023-03-16,Unit42-Case Work,01:00:00,"#ASTM
#Meeting
#Meta
#Traffic-analysis"
Work-Space,2023-03-16,Unit42-Case Work,02:23:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-16,Unit42-Case Work,02:30:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-16,Coding,01:02:58,"#100DaysofCode
#Python"
Off-Work Space,2023-03-16,Gaming,01:10:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-17,Homelab Engineering and Documentation,01:20:00,"#Internet
#Plex"
Work-Space,2023-03-17,Unit42-Case Work,04:16:46,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-17,Unit42-Case Work,01:20:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-17,Coding,00:39:15,
Off-Work Space,2023-03-17,Gaming,00:50:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-18,Gaming,02:27:28,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-18,Gaming,00:31:23,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-18,Gaming,00:44:10,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-18,Coding,01:31:36,"#100DaysofCode
#Python"
Off-Work Space,2023-03-19,Coding,01:02:38,"#100DaysofCode
#Python"
Off-Work Space,2023-03-19,Gaming,02:13:35,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-19,Gaming,01:07:00,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-19,Gaming,01:40:49,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-20,Studying,00:47:18,"#GCPN
#Index
#SANS
#SANS SEC-588"
Off-Work Space,2023-03-20,Gaming,00:52:58,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-03-20,Unit42-Case Work,00:30:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-20,Unit42-Case Work,02:08:03,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-20,Teaching / Cirriculum Development,00:28:47,#Movie Review
Work-Space,2023-03-20,Unit42-Case Work,00:49:49,"#ASTM
#Meeting
#Meta
#Traffic-analysis"
Work-Space,2023-03-20,Unit42-Case Work,00:47:57,"#ASTM
#Meeting
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-20,Coding,01:30:00,"#100DaysofCode
#Python"
Off-Work Space,2023-03-20,Gaming,01:04:59,"#Call of Duty
#FPS
#Multiplayer"
